1199	2008-11-14T19:03:02.397612Z	2011-03-17T07:36:11.574181Z
1200	2008-11-14T19:05:36.453823Z	2011-03-17T07:33:09.267414Z
1201	2008-11-14T19:08:09.547650Z	2011-03-17T07:20:16.041305Z
1202	2008-11-18T01:27:06.317925Z	2012-05-27T20:32:10.650458Z
1203	2008-11-19T12:17:57.581582Z	2010-06-08T14:18:56.381825Z
1206	2008-11-20T08:14:10.265798Z	2010-07-07T06:28:01.105996Z
1211	2008-11-25T14:45:18.789627Z	2010-06-08T14:18:56.632470Z
1213	2008-11-27T18:20:25.169483Z	2012-05-27T20:28:03.343094Z
1214	2008-11-28T20:52:27.722645Z	2010-06-08T14:18:56.732333Z
1216	2008-11-30T10:00:13.036523Z	2010-06-08T14:18:56.766637Z
1217	2008-11-30T13:31:37.436384Z	2010-06-08T14:18:56.790046Z
1221	2008-11-30T17:15:58.312285Z	2010-06-08T14:18:56.848500Z
1224	2008-12-01T03:26:54.453508Z	2010-06-08T14:18:56.905503Z
1226	2008-12-02T10:10:52.381153Z	2010-06-08T14:18:56.940106Z
1227	2008-12-02T13:15:16.057906Z	2010-06-08T14:18:56.965862Z
1228	2008-12-02T13:55:48.930463Z	2012-05-27T20:30:04.628377Z
1229	2008-12-03T06:27:00.381038Z	2012-05-27T20:18:51.329874Z
1230	2008-12-03T07:50:35.046338Z	2011-04-14T21:34:24.403874Z
1231	2008-12-04T12:27:43.619567Z	2010-06-08T14:18:57.191332Z
1233	2008-12-06T18:20:29.754512Z	2010-06-08T14:18:57.229977Z
1234	2008-12-08T22:56:46.500422Z	2010-06-08T14:18:57.255074Z
1236	2008-12-09T21:49:38.585582Z	2010-06-08T14:18:57.292143Z
1237	2008-12-10T21:41:21.499342Z	2010-06-08T14:18:57.318643Z
1238	2008-12-11T19:00:58.843617Z	2010-06-08T14:18:57.343434Z
1239	2008-12-11T21:57:52.919477Z	2010-06-30T05:47:11.023409Z
1242	2008-12-14T10:29:01.139104Z	2010-06-08T14:18:57.418762Z
1243	2008-12-15T12:43:05.816149Z	2010-06-08T14:18:57.560986Z
1244	2008-12-15T22:27:36.372087Z	2010-11-03T19:30:12.344600Z
1246	2008-12-17T05:10:36.062824Z	2010-06-08T14:18:57.625187Z
1249	2008-12-18T15:39:47.689101Z	2010-06-08T14:18:57.673090Z
1252	2008-12-18T23:32:48.728552Z	2012-05-27T20:33:29.568434Z
1256	2008-12-21T12:57:26.365812Z	2010-06-08T14:18:57.816960Z
1259	2008-12-25T00:31:18.379373Z	2010-06-08T14:18:57.864660Z
1261	2008-12-29T17:39:05.298207Z	2010-10-24T21:38:44.477697Z
1262	2008-12-31T14:58:24.646475Z	2010-06-08T14:18:58.053998Z
1263	2008-12-31T20:02:36.281388Z	2010-06-08T14:18:58.078047Z
1265	2009-01-01T12:43:53.204679Z	2010-07-10T10:23:20.357799Z
1266	2009-01-01T15:37:29.479278Z	2010-06-08T14:18:58.152318Z
1267	2009-01-02T15:07:55.776260Z	2010-06-08T14:18:58.178436Z
1268	2009-01-02T19:41:49.439068Z	2010-06-08T14:18:58.204330Z
1275	2009-01-04T21:28:21.848767Z	2011-11-04T17:20:06.096762Z
1280	2009-01-06T22:16:00.645909Z	2010-09-21T07:40:58.452399Z
1281	2009-01-07T00:53:51.172097Z	2010-06-08T14:18:58.525905Z
1284	2009-01-08T14:43:45.789421Z	2010-06-08T14:18:58.578300Z
1285	2009-01-08T15:36:48.366103Z	2010-06-08T14:18:58.601716Z
1286	2009-01-08T18:17:11.091241Z	2010-06-08T14:18:58.625681Z
1305	2009-01-11T13:11:43.220192Z	2010-06-08T14:18:59.011544Z
1310	2009-01-13T23:29:45.227849Z	2012-05-27T20:28:34.484433Z
1312	2009-01-15T10:17:16.845386Z	2012-05-27T20:31:22.222129Z
1314	2009-01-16T17:45:15.038244Z	2012-02-02T01:37:20.916426Z
1317	2009-01-17T04:48:41.030272Z	2010-06-08T14:18:59.209372Z
1319	2009-01-17T23:18:22.094020Z	2012-02-02T01:36:23.018018Z
1322	2009-01-18T16:22:23.212891Z	2010-06-08T14:18:59.294217Z
1325	2009-01-19T22:37:08.507476Z	2010-06-08T14:18:59.343064Z
1329	2009-01-20T20:15:09.890011Z	2012-01-22T07:52:23.206583Z
1336	2009-01-21T11:05:20.993962Z	2012-01-10T11:53:10.121573Z
1340	2009-01-21T20:51:54.938869Z	2010-06-08T14:18:59.693072Z
1341	2009-01-22T10:15:09.354804Z	2012-01-10T12:03:17.802960Z
1342	2009-01-22T17:16:04.725745Z	2010-06-08T14:18:59.744505Z
1343	2009-01-22T22:23:36.282554Z	2011-03-10T17:34:04.218757Z
1344	2009-01-22T22:25:15.352010Z	2012-02-02T01:36:29.692433Z
1345	2009-01-22T23:48:59.870790Z	2011-04-02T17:52:10.841450Z
1349	2009-01-25T09:57:41.529946Z	2012-02-02T01:37:20.055040Z
1353	2009-01-26T12:58:47.920135Z	2011-04-16T17:49:44.814875Z
1354	2009-01-26T18:39:08.254682Z	2010-06-08T14:19:00.126199Z
1356	2009-01-26T19:55:56.410984Z	2010-06-08T14:19:00.178044Z
1357	2009-01-26T21:50:22.774832Z	2010-06-08T14:19:00.203125Z
1358	2009-01-27T09:07:08.929854Z	2012-01-10T12:04:12.650676Z
1360	2009-01-27T10:00:35.065323Z	2010-06-08T14:19:00.267657Z
1361	2009-01-27T10:50:47.527617Z	2012-01-10T12:06:10.697114Z
1362	2009-01-27T21:49:08.994701Z	2010-06-22T06:49:53.521415Z
1363	2009-01-28T19:06:30.235902Z	2010-06-08T14:19:00.470657Z
1365	2009-01-28T21:50:14.436551Z	2012-01-10T11:51:10.026495Z
1367	2009-01-30T20:30:18.058690Z	2010-06-08T14:19:00.563187Z
1369	2009-01-31T22:43:23.312318Z	2010-06-08T14:19:00.602415Z
1370	2009-01-31T22:46:33.307592Z	2012-01-10T12:01:25.239844Z
1371	2009-02-01T03:48:59.371002Z	2012-02-02T01:36:23.000614Z
1372	2009-02-03T16:56:34.908519Z	2011-08-31T08:14:11.235150Z
1375	2009-02-04T10:47:22.377632Z	2010-06-08T14:19:00.743689Z
1376	2009-02-06T11:14:07.198815Z	2010-06-08T14:19:00.890412Z
1378	2009-02-07T13:11:50.121107Z	2010-06-08T14:19:00.927495Z
1380	2009-02-08T16:38:23.567877Z	2010-06-08T14:19:00.964790Z
1384	2009-02-08T22:28:58.753514Z	2010-06-08T14:19:01.033294Z
1385	2009-02-09T14:19:03.560688Z	2010-06-08T17:45:20.981648Z
1386	2009-02-09T14:46:40.751536Z	2012-01-10T12:01:20.133186Z
1387	2009-02-09T15:06:47.746485Z	2010-06-08T14:19:01.103685Z
1392	2009-02-10T11:05:53.089961Z	2012-02-02T01:36:06.406728Z
1393	2009-02-10T14:51:10.122164Z	2012-05-15T12:48:21.100307Z
1397	2009-02-11T10:56:47.888474Z	2010-06-08T14:19:01.389467Z
1398	2009-02-11T11:25:40.393065Z	2012-02-02T01:36:40.929929Z
1399	2009-02-11T15:23:52.638224Z	2010-06-08T14:19:01.447487Z
1402	2009-02-11T16:56:51.643520Z	2010-06-08T14:19:01.517402Z
1407	2009-02-12T12:47:53.956115Z	2010-06-08T14:19:01.608329Z
1408	2009-02-12T12:55:13.527426Z	2010-06-08T14:19:01.632852Z
1409	2009-02-12T15:06:58.931467Z	2010-06-08T14:19:01.659198Z
1410	2009-02-12T17:46:15.422973Z	2010-06-08T14:19:01.686572Z
1411	2009-02-12T23:42:13.324655Z	2010-06-08T14:19:01.716407Z
1415	2009-02-13T12:28:40.921727Z	2010-06-08T14:19:01.911078Z
1416	2009-02-14T18:23:26.978194Z	2012-01-14T17:01:26.602131Z
1417	2009-02-14T19:00:28.387726Z	2010-06-08T14:19:01.964432Z
1418	2009-02-15T15:36:56.922877Z	2012-05-17T10:58:17.255488Z
1419	2009-02-15T16:42:29.658760Z	2010-06-08T14:19:02.019842Z
1420	2009-02-15T16:42:58.490234Z	2010-06-08T14:19:02.043772Z
1421	2009-02-15T22:00:07.914022Z	2010-06-08T14:19:02.069525Z
1424	2009-02-16T19:03:21.101144Z	2010-06-08T14:19:02.133007Z
1425	2009-02-16T22:17:55.497995Z	2010-06-08T14:19:02.159404Z
1430	2009-02-17T02:57:48.588591Z	2010-06-08T14:19:02.792185Z
1433	2009-02-17T04:59:42.262681Z	2010-06-08T14:19:02.845981Z
1435	2009-02-17T06:30:04.333815Z	2010-06-08T14:19:02.883509Z
1438	2009-02-17T16:59:44.744182Z	2012-01-10T11:50:28.454273Z
1441	2009-02-19T00:47:20.543984Z	2010-06-08T14:19:03.004637Z
1442	2009-02-19T00:48:33.779345Z	2010-06-08T14:19:03.048412Z
1443	2009-02-19T01:04:51.273321Z	2010-06-08T14:19:03.072842Z
1447	2009-02-19T15:50:40.746713Z	2010-06-08T14:19:03.304559Z
1448	2009-02-19T19:00:05.156603Z	2010-06-08T14:19:03.345052Z
1449	2009-02-19T22:36:13.284153Z	2010-06-08T14:19:03.371643Z
1450	2009-02-20T09:54:46.411935Z	2011-05-29T11:28:21.044942Z
1451	2009-02-20T14:55:37.618589Z	2010-06-08T14:19:03.422059Z
1452	2009-02-21T19:13:52.979231Z	2010-06-08T14:19:03.447008Z
1453	2009-02-21T20:15:32.785484Z	2010-06-08T14:19:03.471932Z
1454	2009-02-22T18:18:44.032342Z	2010-06-08T14:19:03.498269Z
1456	2009-02-22T19:44:13.622273Z	2010-06-08T14:19:03.536924Z
1457	2009-02-23T19:26:26.590363Z	2010-06-08T14:19:03.561765Z
1462	2009-02-24T17:43:29.953942Z	2010-06-08T14:19:03.777879Z
1463	2009-02-25T11:41:20.796482Z	2010-06-08T14:19:03.820642Z
1467	2009-02-25T21:52:42.685722Z	2010-06-08T14:19:03.895323Z
